tls_version,cipher_suite,cert_length,handshake_type,packet_length,time_delta,anomaly
0x0303,0x1302,0,2,173,1770313199.415326,Normal
0x0303,0x3a3a,0,1,761,1770313199.417376,Normal
0x0303,0x1302,0,2,1374,1770313200.814422,Normal
0x0303,0x1302,0,2,1374,1770313200.94099,Normal
0x0303,0x0a0a,0,1,1830,1770313209.436052,Normal
0x0303,0x1302,0,2,173,1770313211.292035,Normal
0x0303,0x0a0a,0,1,676,1770313211.294116,Normal
0x0303,0x1302,0,1,621,1770313212.448553,Normal
0x0303,0x1302,0,2,1374,1770313212.770674,Normal
0x0303,0x1302,0,2,1354,1770313213.779225,Normal
0x0303,0x9a9a,0,1,1839,1770313217.505777,Normal
0x0303,0x1302,0,2,173,1770313218.735465,Normal
0x0303,0x9a9a,0,1,685,1770313218.737337,Normal
0x0303,0x1302,0,2,1354,1770313220.072761,Normal
0x0303,0x1302,0,1,549,1770313223.737082,MITM Suspected
0x0303,0xc030,0,2,1354,1770313225.175847,Normal
0,0,6704,11,1354,1770313225.175847,MITM Suspected
0,0,0,22,601,1770313225.175847,Normal
0,0,0,16,200,1770313225.240126,Normal
0x0303,0xcaca,0,1,2161,1770313231.210861,Normal
0x0303,0x1302,0,2,338,1770313232.768977,Normal
